🔋 蔡氏📡央 视📡,#genre#

CCTV-1HD,http://107.150.60.122/live/cctv1hd.m3u8
CCTV-2HD,http://107.150.60.122/live/cctv2hd.m3u8
CCTV-3HD,http://107.150.60.122/live/cctv3hd.m3u8
CCTV-4HD,http://107.150.60.122/live/cctv4hd.m3u8
CCTV-5HD,http://107.150.60.122/live/cctv5hd.m3u8
CCTV-6HD,http://107.150.60.122/live/cctv6hd.m3u8
CCTV-7HD,http://107.150.60.122/live/cctv7hd.m3u8
CCTV-8HD,http://107.150.60.122/live/cctv8hd.m3u8
CCTV-9HD,http://107.150.60.122/live/cctv9hd.m3u8
CCTV-10HD,http://107.150.60.122/live/cctv10hd.m3u8
CCTV-11HD,http://107.150.60.122/live/cctv11hd.m3u8
CCTV-12HD,http://107.150.60.122/live/cctv12hd.m3u8
CCTV-13HD,http://107.150.60.122/live/cctv13hd.m3u8
CCTV-14HD,http://107.150.60.122/live/cctv14hd.m3u8
CCTV-15HD,http://107.150.60.122/live/cctv15hd.m3u8
CCTV-16HD,http://107.150.60.122/live/cctv16hd.m3u8
CCTV-17HD,http://107.150.60.122/live/cctv17hd.m3u8
CCTV-5+HD,http://107.150.60.122/live/cctv5p.m3u8
CCTV-4K超高清,http://107.150.60.122/live/cctv4k.m3u8
CCTV-8K超高清,http://107.150.60.122/live/cctv8k.m3u8
CCTV-1HD,http://192.151.150.154/live/cctv1hd.m3u8
CCTV-2HD,http://192.151.150.154/live/cctv2hd.m3u8
CCTV-4HD,http://192.151.150.154/live/cctv4hd.m3u8
CCTV-6HD,http://192.151.150.154/live/cctv6hd.m3u8
CCTV-7HD,http://192.151.150.154/live/cctv7hd.m3u8
CCTV-8HD,http://192.151.150.154/live/cctv8hd.m3u8
CCTV-9HD,http://192.151.150.154/live/cctv9hd.m3u8
CCTV-10HD,http://192.151.150.154/live/cctv10hd.m3u8
CCTV-11HD,http://192.151.150.154/live/cctv11hd.m3u8
CCTV-13HD,http://192.151.150.154/live/cctv13hd.m3u8
CCTV-17HD,http://192.151.150.154/live/cctv17hd.m3u8
CCTV-4K超高清,http://192.151.150.154/live/cctv4k.m3u8
CCTV-8K超高清,http://192.151.150.154/live/cctv8k.m3u8
CCTV-1HD,http://198.204.228.26/live/cctv1hd.m3u8
CCTV-3HD,http://198.204.228.26/live/cctv3hd.m3u8
CCTV-4HD,http://198.204.228.26/live/cctv4hd.m3u8
CCTV-5HD,http://198.204.228.26/live/cctv5hd.m3u8
CCTV-6HD,http://198.204.228.26/live/cctv6hd.m3u8
CCTV-8HD,http://198.204.228.26/live/cctv8hd.m3u8
CCTV-9HD,http://198.204.228.26/live/cctv9hd.m3u8
CCTV-10HD,http://198.204.228.26/live/cctv10hd.m3u8
CCTV-11HD,http://198.204.228.26/live/cctv11hd.m3u8
CCTV-12HD,http://198.204.228.26/live/cctv12hd.m3u8
CCTV-13HD,http://198.204.228.26/live/cctv13hd.m3u8
CCTV-14HD,http://198.204.228.26/live/cctv14hd.m3u8
CCTV-15HD,http://198.204.228.26/live/cctv15hd.m3u8
CCTV-5+HD,http://198.204.228.26/live/cctv5p.m3u8
CCTV-4K超高清,http://198.204.228.26/live/cctv4k.m3u8
CCTV-8K超高清,http://198.204.228.26/live/cctv8k.m3u8
CCTV-电视指南,http://198.204.228.26/live/dszn.m3u8
CCTV-第一剧场,http://198.204.228.26/live/dyjc.m3u8
CCTV-风云剧场,http://198.204.228.26/live/fyjc.m3u8
CCTV-风云音乐,http://198.204.228.26/live/fyyy.m3u8
CCTV-风云足球,http://198.204.228.26/live/fyzq.m3u8
CCTV-高尔夫网球,http://198.204.228.26/live/gefwq.m3u8
CCTV-兵器科技,http://198.204.228.26/live/gfjs.m3u8
CCTV-世界地理,http://198.204.228.26/live/sjdl.m3u8
CCTV-怀旧剧场,http://198.204.228.26/live/hjjc.m3u8
CCTV-央视台球,http://198.204.228.26/live/ystq.m3u8
BTV新闻,http://103.72.172.253:8041/hls/382837277/index.m3u8
BTV文艺,http://103.72.172.253:8041/hls/346478234/index.m3u8
BTV科教,http://103.72.172.253:8041/hls/347295318/index.m3u8
BTV影视,http://103.72.172.253:8041/hls/357945484/index.m3u8
BTV财经,http://103.72.172.253:8041/hls/358948176/index.m3u8
BTV生活,http://103.72.172.253:8041/hls/366415771/index.m3u8
KAKU少儿,http://103.72.172.253:8041/hls/385413834/index.m3u8
北京卫视,http://103.72.172.253:8041/hls/345649569/index.m3u8
CHC动作电影,http://107.150.60.122/live/chcdz.m3u8
CHC影迷电影,http://107.150.60.122/live/chchd.m3u8
CHC家庭影院,http://107.150.60.122/live/chcjt.m3u8
重温经典,http://107.150.60.122/live/cwjd.m3u8
CCTV-电视指南,http://107.150.60.122/live/dszn.m3u8
CCTV-第一剧场,http://107.150.60.122/live/dyjc.m3u8
CCTV-风云剧场,http://107.150.60.122/live/fyjc.m3u8
CCTV-风云音乐,http://107.150.60.122/live/fyyy.m3u8
CCTV-风云足球,http://107.150.60.122/live/fyzq.m3u8
CCTV-高尔夫网球,http://107.150.60.122/live/gefwq.m3u8
CCTV-兵器科技,http://107.150.60.122/live/gfjs.m3u8
CCTV-世界地理,http://107.150.60.122/live/sjdl.m3u8
CCTV-怀旧剧场,http://107.150.60.122/live/hjjc.m3u8
CCTV-央视台球,http://107.150.60.122/live/ystq.m3u8
天元围棋,http://107.150.60.122/live/gztywq.m3u8
北京卡酷少儿,http://107.150.60.122/live/btvkk.m3u8
北京卫视HD,http://107.150.60.122/live/bjwshd.m3u8
重庆卫视HD,http://107.150.60.122/live/cqwshd.m3u8
大湾区卫视(国际版),http://107.150.60.122/live/gdgj.m3u8
东方卫视HD,http://107.150.60.122/live/dfwshd.m3u8
东南卫视HD,http://107.150.60.122/live/dnwshd.m3u8
广东卫视HD,http://107.150.60.122/live/gdwshd.m3u8
广西卫视HD,http://107.150.60.122/live/gxwshd.m3u8
贵州卫视HD,http://107.150.60.122/live/gzwshd.m3u8
河南卫视HD,http://107.150.60.122/live/hawshd.m3u8
湖北卫视HD,http://107.150.60.122/live/hbwshd.m3u8
河北卫视HD,http://107.150.60.122/live/hewshd.m3u8
湖南卫视HD,http://107.150.60.122/live/hnwshd.m3u8
吉林卫视HD,http://107.150.60.122/live/jlwshd.m3u8
江苏卫视HD,http://107.150.60.122/live/jswshd.m3u8
辽宁卫视HD,http://107.150.60.122/live/lnwshd.m3u8
内蒙古卫视,http://107.150.60.122/live/nmgws.m3u8
宁夏卫视,http://107.150.60.122/live/nxws.m3u8
青海卫视,http://107.150.60.122/live/qhws.m3u8
陕西卫视HD,http://107.150.60.122/live/snwshd.m3u8
三沙卫视,http://107.150.60.122/live/ssws.m3u8
天津卫视HD,http://107.150.60.122/live/tjwshd.m3u8
新疆卫视,http://107.150.60.122/live/xjws.m3u8
云南卫视HD,http://107.150.60.122/live/ynwshd.m3u8
